CLASS	METHOD	PARAMETER	INDEX
org.mockito.internal.exceptions.Reporter	methodDoesNotAcceptParameter(java.lang.String,java.lang.String)	parameter	1
org.mockito.internal.exceptions.Reporter	methodDoesNotAcceptParameter(java.lang.String,java.lang.String)	method	0
org.mockito.internal.exceptions.Reporter	requiresAtLeastOneListener(java.lang.String)	method	0
org.mockito.internal.exceptions.Reporter	invocationListenerThrewException(org.mockito.listeners.InvocationListener,java.lang.Throwable)	listenerThrowable	1
org.mockito.internal.exceptions.Reporter	cannotInjectDependency(java.lang.reflect.Field,java.lang.Object,java.lang.Exception)	details	2
org.mockito.internal.exceptions.Reporter	exceptionCauseMessageIfAvailable(java.lang.Exception)	details	0
org.mockito.internal.exceptions.Reporter	possibleArgumentTypesOf(org.mockito.invocation.InvocationOnMock)	invocation	0
org.mockito.internal.exceptions.Reporter	usingConstructorWithFancySerializable(org.mockito.mock.SerializableMode)	mode	0
org.mockito.internal.exceptions.Reporter	formatUnncessaryStubbingException(java.lang.Class,java.util.Collection)	testClass	0
org.mockito.internal.exceptions.Reporter	formatUnncessaryStubbingException(java.lang.Class,java.util.Collection)	unnecessaryStubbings	1
org.mockito.internal.exceptions.Reporter	potentialStubbingProblem(org.mockito.invocation.Invocation,java.util.Collection)	argMismatchStubbings	1
org.mockito.internal.matchers.CapturingMatcher	captureFrom(java.lang.Object)	argument	0
org.mockito.exceptions.base.MockitoException	MockitoException(java.lang.String,java.lang.Throwable)	message	0
org.mockito.exceptions.base.MockitoException	MockitoException(java.lang.String,java.lang.Throwable)	t	1
org.mockito.exceptions.base.MockitoException	MockitoException(java.lang.String)	message	0
org.mockito.exceptions.base.MockitoAssertionError	MockitoAssertionError(java.lang.String)	message	0
org.mockito.exceptions.base.MockitoAssertionError	MockitoAssertionError(org.mockito.exceptions.base.MockitoAssertionError,java.lang.String)	error	0
org.mockito.exceptions.base.MockitoAssertionError	MockitoAssertionError(org.mockito.exceptions.base.MockitoAssertionError,java.lang.String)	message	1
org.mockito.exceptions.base.MockitoAssertionError	MockitoAssertionError(java.lang.AssertionError,java.lang.String)	error	0
org.mockito.exceptions.base.MockitoAssertionError	MockitoAssertionError(java.lang.AssertionError,java.lang.String)	message	1
org.mockito.internal.reporting.Discrepancy	Discrepancy(int,int)	wantedCount	0
org.mockito.internal.reporting.Discrepancy	Discrepancy(int,int)	actualCount	1
org.mockito.ArgumentMatchers	eq(T)	value	0
org.mockito.ArgumentMatchers	same(T)	value	0
org.mockito.junit.MockitoJUnitRunner	MockitoJUnitRunner(org.mockito.internal.runners.InternalRunner)	runner	0
org.mockito.junit.MockitoJUnitRunner	filter(org.junit.runner.manipulation.Filter)	filter	0
org.mockito.junit.MockitoJUnit	testRule(java.lang.Object)	testInstance	0
org.mockito.BDDMockito$BDDOngoingStubbingImpl	BDDOngoingStubbingImpl(org.mockito.stubbing.OngoingStubbing)	ongoingStubbing	0
org.mockito.BDDMockito	then(T)	mock	0
org.mockito.BDDMockito$ThenImpl	ThenImpl(T)	mock	0
org.mockito.BDDMockito$ThenImpl	should(org.mockito.InOrder)	inOrder	0
org.mockito.BDDMockito$ThenImpl	should(org.mockito.InOrder,org.mockito.verification.VerificationMode)	inOrder	0
org.mockito.BDDMockito$BDDStubberImpl	BDDStubberImpl(org.mockito.stubbing.Stubber)	mockitoStubber	0
org.mockito.Mockito	timeout(long)	millis	0
org.mockito.Mockito	after(long)	millis	0
org.mockito.internal.handler.MockHandlerFactory	createMockHandler(org.mockito.mock.MockCreationSettings)	settings	0
org.mockito.internal.util.MockUtil	createMock(org.mockito.mock.MockCreationSettings)	settings	0
org.mockito.internal.util.MockUtil	getMockHandler(T)	mock	0
org.mockito.internal.util.MockUtil	isMock(java.lang.Object)	mock	0
org.mockito.internal.verification.VerificationModeFactory	atLeast(int)	minNumberOfInvocations	0
org.mockito.internal.verification.VerificationModeFactory	times(int)	wantedNumberOfInvocations	0
org.mockito.internal.verification.VerificationModeFactory	calls(int)	wantedNumberOfInvocations	0
