message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path	infos
DEREFERENCE_NULLABLE	dereferenced expression DISPATCHERS.get(identifier) is @Nullable	org.mockito.internal.creation.bytebuddy.inject.MockMethodDispatcher	isConstructorMock(java.lang.String,java.lang.Class)	1408	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/inject/MockMethodDispatcher.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression DISPATCHERS\n        .get(identifier) is @Nullable	org.mockito.internal.creation.bytebuddy.inject.MockMethodDispatcher	handleConstruction(java.lang.String,java.lang.Class,java.lang.Object,java.lang.Object[],java.lang.String[])	1692	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/inject/MockMethodDispatcher.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression getModule is @Nullable	org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	assureCanReadMockito(java.util.Set)	11388	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineBytecodeGenerator.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression canRead is @Nullable	org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	assureCanReadMockito(java.util.Set)	11711	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineBytecodeGenerator.java	null	null	null	null	null	null
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.mockito.internal.util.concurrent.WeakConcurrentMap$SimpleEntry	SimpleEntry(K,java.util.Map.Entry)	10264	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/concurrent/WeakConcurrentMap.java	FIELD	org.mockito.internal.util.concurrent.WeakConcurrentMap$SimpleEntry	null	entry	null	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/concurrent/WeakConcurrentMap.java
PASS_NULLABLE	passing @Nullable parameter 'INSTRUMENTATION' where @NonNull is required	org.mockito.internal.creation.bytebuddy.InlineByteBuddyMockMaker	InlineByteBuddyMockMaker()	12191	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java	PARAMETER	org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	InlineBytecodeGenerator(java.lang.instrument.Instrumentation,org.mockito.internal.util.concurrent.WeakConcurrentMap,org.mockito.internal.util.concurrent.DetachedThreadLocal,java.util.function.Predicate,org.mockito.internal.creation.bytebuddy.ConstructionCallback)	instrumentation	0	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineBytecodeGenerator.java
WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method org.mockito.plugins.MockMaker.<T>createMock(org.mockito.mock.MockCreationSettings<T>,org.mockito.invocation.MockHandler) returns @NonNull	org.mockito.internal.creation.bytebuddy.InlineByteBuddyMockMaker	createMock(org.mockito.mock.MockCreationSettings,org.mockito.invocation.MockHandler)	12338	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java	METHOD	org.mockito.plugins.MockMaker	createMock(org.mockito.mock.MockCreationSettings,org.mockito.invocation.MockHandler)	null	null	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/plugins/MockMaker.java
DEREFERENCE_NULLABLE	dereferenced expression INSTRUMENTATION is @Nullable	org.mockito.internal.creation.bytebuddy.InlineByteBuddyMockMaker$1	mockable()	19257	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/InlineByteBuddyMockMaker.java	null	null	null	null	null	null
PASS_NULLABLE	passing @Nullable parameter 'cause' where @NonNull is required	org.mockito.internal.creation.bytebuddy.MockMethodAdvice	tryInvoke(java.lang.reflect.Method,java.lang.Object,java.lang.Object[])	11743	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodAdvice.java	PARAMETER	org.mockito.internal.creation.bytebuddy.MockMethodAdvice	hideRecursiveCall(java.lang.Throwable,int,java.lang.Class)	throwable	0	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodAdvice.java
DEREFERENCE_NULLABLE	dereferenced expression message is @Nullable	org.mockito.internal.junit.VerificationCollectorImpl	append(java.lang.String)	2658	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/junit/VerificationCollectorImpl.java	null	null	null	null	null	null
