REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
org.mockito.internal.invocation.InvocationMatcher	InvocationMatcher(org.mockito.invocation.Invocation,java.util.List)	invocation	org.mockito.internal.invocation.InvocationMatcher	SOURCE
org.mockito.internal.invocation.InvocationMatcher	InvocationMatcher(org.mockito.invocation.Invocation,java.util.List)	this	org.mockito.internal.invocation.InvocationMatcher	SOURCE
org.mockito.internal.invocation.InvocationMatcher	InvocationMatcher(org.mockito.invocation.Invocation,java.util.List)	matchers	org.mockito.internal.invocation.InvocationMatcher	SOURCE
org.mockito.internal.invocation.InvocationMatcher	InvocationMatcher(org.mockito.invocation.Invocation,java.util.List)	this	org.mockito.internal.invocation.InvocationMatcher	SOURCE
org.mockito.internal.invocation.InvocationMatcher	InvocationMatcher(org.mockito.invocation.Invocation,java.util.List)	matchers	org.mockito.internal.invocation.InvocationMatcher	SOURCE
org.mockito.internal.invocation.InvocationMatcher	InvocationMatcher(org.mockito.invocation.Invocation,java.util.List)	this	org.mockito.internal.invocation.InvocationMatcher	SOURCE
org.mockito.internal.invocation.InvocationMatcher	getMethod()	invocation	org.mockito.internal.invocation.InvocationMatcher	SOURCE
org.mockito.internal.invocation.InvocationMatcher	getInvocation()	invocation	org.mockito.internal.invocation.InvocationMatcher	SOURCE
org.mockito.internal.invocation.InvocationMatcher	getMatchers()	matchers	org.mockito.internal.invocation.InvocationMatcher	SOURCE
org.mockito.internal.invocation.InvocationMatcher	toString()	matchers	org.mockito.internal.invocation.InvocationMatcher	SOURCE
org.mockito.internal.invocation.InvocationMatcher	toString()	invocation	org.mockito.internal.invocation.InvocationMatcher	SOURCE
org.mockito.internal.invocation.InvocationMatcher	matches(org.mockito.invocation.Invocation)	invocation	org.mockito.internal.invocation.InvocationMatcher	SOURCE
org.mockito.internal.invocation.InvocationMatcher	hasSameMethod(org.mockito.invocation.Invocation)	invocation	org.mockito.internal.invocation.InvocationMatcher	SOURCE
org.mockito.internal.invocation.InvocationMatcher	getLocation()	invocation	org.mockito.internal.invocation.InvocationMatcher	SOURCE
org.mockito.internal.invocation.InvocationMatcher	captureArgumentsFrom(org.mockito.invocation.Invocation)	matchers	org.mockito.internal.invocation.InvocationMatcher	SOURCE
org.mockito.internal.util.Primitives	primitiveTypeOf(java.lang.Class)	PRIMITIVE_TYPES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	isPrimitiveOrWrapper(java.lang.Class)	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	defaultValue(java.lang.Class)	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_TYPES	PRIMITIVE_TYPES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	java.lang.Boolean	SOURCE
org.mockito.internal.util.Primitives	null	TYPE	java.lang.Boolean	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_TYPES	PRIMITIVE_TYPES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	java.lang.Character	SOURCE
org.mockito.internal.util.Primitives	null	TYPE	java.lang.Character	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_TYPES	PRIMITIVE_TYPES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	java.lang.Byte	SOURCE
org.mockito.internal.util.Primitives	null	TYPE	java.lang.Byte	SOURCE
