kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
FIELD	org.mockito.internal.invocation.InterceptedInvocation	null	stubInfo	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/invocation/InterceptedInvocation.java	METHOD_NO_INIT	nullable	org.mockito.internal.invocation.InterceptedInvocation	null
METHOD	org.mockito.internal.invocation.InterceptedInvocation$1	invoke()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/invocation/InterceptedInvocation.java	RETURN_NULLABLE	nullable	org.mockito.internal.invocation.InterceptedInvocation$1	invoke()
FIELD	org.mockito.internal.handler.NotifiedMethodInvocationReport	null	throwable	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/handler/NotifiedMethodInvocationReport.java	ASSIGN_FIELD_NULLABLE	nullable	org.mockito.internal.handler.NotifiedMethodInvocationReport	NotifiedMethodInvocationReport(org.mockito.invocation.Invocation,java.lang.Object)
FIELD	org.mockito.internal.handler.NotifiedMethodInvocationReport	null	returnedValue	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/handler/NotifiedMethodInvocationReport.java	ASSIGN_FIELD_NULLABLE	nullable	org.mockito.internal.handler.NotifiedMethodInvocationReport	NotifiedMethodInvocationReport(org.mockito.invocation.Invocation,java.lang.Throwable)
METHOD	org.mockito.internal.handler.NotifiedMethodInvocationReport	getLocationOfStubbing()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/handler/NotifiedMethodInvocationReport.java	RETURN_NULLABLE	nullable	org.mockito.internal.handler.NotifiedMethodInvocationReport	getLocationOfStubbing()
METHOD	org.mockito.internal.handler.MockHandlerImpl	handle(org.mockito.invocation.Invocation)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/handler/MockHandlerImpl.java	RETURN_NULLABLE	nullable	org.mockito.internal.handler.MockHandlerImpl	handle(org.mockito.invocation.Invocation)
METHOD	org.mockito.internal.handler.MockHandlerImpl	handle(org.mockito.invocation.Invocation)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/handler/MockHandlerImpl.java	RETURN_NULLABLE	nullable	org.mockito.internal.handler.MockHandlerImpl	handle(org.mockito.invocation.Invocation)
FIELD	org.mockito.internal.stubbing.InvocationContainerImpl	null	invocationForStubbing	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java	METHOD_NO_INIT	nullable	org.mockito.internal.stubbing.InvocationContainerImpl	null
FIELD	org.mockito.internal.stubbing.InvocationContainerImpl	null	mockStrictness	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java	ASSIGN_FIELD_NULLABLE	nullable	org.mockito.internal.stubbing.InvocationContainerImpl	InvocationContainerImpl(org.mockito.mock.MockCreationSettings)
PARAMETER	org.mockito.internal.stubbing.InvocationContainerImpl	addAnswer(org.mockito.stubbing.Answer,boolean,org.mockito.quality.Strictness)	stubbingStrictness	2	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java	PASS_NULLABLE	nullable	org.mockito.internal.stubbing.InvocationContainerImpl	addConsecutiveAnswer(org.mockito.stubbing.Answer)
