id	class	method	parent	size	flags	nullable	visibility	non-primitive-return	uri
34	org.mockito.MockSettings	stubbingLookupListeners(org.mockito.listeners.StubbingLookupListener...)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/MockSettings.java
35	org.mockito.MockSettings	invocationListeners(org.mockito.listeners.InvocationListener...)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/MockSettings.java
36	org.mockito.MockSettings	verificationStartedListeners(org.mockito.listeners.VerificationStartedListener...)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/MockSettings.java
37	org.mockito.MockSettings	stubOnly()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/MockSettings.java
38	org.mockito.MockSettings	useConstructor(java.lang.Object...)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/MockSettings.java
39	org.mockito.MockSettings	outerInstance(java.lang.Object)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/MockSettings.java
40	org.mockito.MockSettings	withoutAnnotations()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/MockSettings.java
41	org.mockito.MockSettings	<T>build(java.lang.Class<T>)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/MockSettings.java
42	org.mockito.MockSettings	<T>buildStatic(java.lang.Class<T>)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/MockSettings.java
43	org.mockito.MockSettings	lenient()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/MockSettings.java
44	org.mockito.stubbing.Answer	answer(org.mockito.invocation.InvocationOnMock)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/stubbing/Answer.java
45	org.mockito.listeners.StubbingLookupListener	onStubbingLookup(org.mockito.listeners.StubbingLookupEvent)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/listeners/StubbingLookupListener.java
46	org.mockito.listeners.InvocationListener	reportInvocation(org.mockito.listeners.MethodInvocationReport)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/listeners/InvocationListener.java
47	org.mockito.listeners.VerificationStartedListener	onVerificationStarted(org.mockito.listeners.VerificationStartedEvent)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/listeners/VerificationStartedListener.java
48	org.mockito.mock.MockCreationSettings	getTypeToMock()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
49	org.mockito.mock.MockCreationSettings	getExtraInterfaces()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
50	org.mockito.mock.MockCreationSettings	getMockName()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
51	org.mockito.mock.MockCreationSettings	getDefaultAnswer()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
