kind	class	method	param	index	uri	field
METHOD	org.mockito.internal.junit.JUnitSessionStore	setStrictness(org.mockito.quality.Strictness)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/junit/JUnitSessionStore.java	strictness
METHOD	org.mockito.internal.junit.MismatchReportingTestListener	testFinished(org.mockito.internal.junit.TestFinishedEvent)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/junit/MismatchReportingTestListener.java	mocks
METHOD	org.mockito.internal.reporting.PrintSettings	setMatchersToBeDescribedWithExtraTypeInfo(java.lang.Integer[])	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/reporting/PrintSettings.java	withTypeInfo
METHOD	org.mockito.internal.verification.SingleRegisteredInvocation	add(org.mockito.invocation.Invocation)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/verification/SingleRegisteredInvocation.java	invocation
METHOD	org.mockito.internal.configuration.injection.MockInjectionStrategy	thenTry(org.mockito.internal.configuration.injection.MockInjectionStrategy)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/configuration/injection/MockInjectionStrategy.java	nextStrategy
METHOD	org.mockito.internal.util.reflection.InstanceField	reader()	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstanceField.java	fieldReader
METHOD	org.mockito.internal.debugging.LocationImpl	computeStackTraceInformation(org.mockito.internal.exceptions.stacktrace.StackTraceFilter,java.lang.Throwable,boolean)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/debugging/LocationImpl.java	stackTraceLine
METHOD	org.mockito.internal.debugging.LocationImpl	computeStackTraceInformation(org.mockito.internal.exceptions.stacktrace.StackTraceFilter,java.lang.Throwable,boolean)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/debugging/LocationImpl.java	sourceFile
METHOD	org.mockito.internal.debugging.LocationImpl	computeStackTraceInformation(org.mockito.internal.exceptions.stacktrace.StackTraceFilter,java.lang.Throwable,boolean)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/debugging/LocationImpl.java	stackTraceLine
METHOD	org.mockito.internal.debugging.LocationImpl	computeStackTraceInformation(org.mockito.internal.exceptions.stacktrace.StackTraceFilter,java.lang.Throwable,boolean)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/debugging/LocationImpl.java	sourceFile
METHOD	org.mockito.internal.runners.DefaultInternalRunner$1	withBefores(org.junit.runners.model.FrameworkMethod,java.lang.Object,org.junit.runners.model.Statement)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/runners/DefaultInternalRunner.java	target
METHOD	org.mockito.internal.runners.DefaultInternalRunner$1$2	testFailure(org.junit.runner.notification.Failure)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/runners/DefaultInternalRunner.java	failure
METHOD	org.mockito.internal.progress.MockingProgressImpl	reportOngoingStubbing(org.mockito.stubbing.OngoingStubbing)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/progress/MockingProgressImpl.java	ongoingStubbing
METHOD	org.mockito.internal.progress.MockingProgressImpl	verificationStarted(org.mockito.verification.VerificationMode)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/progress/MockingProgressImpl.java	verificationMode
METHOD	org.mockito.internal.progress.MockingProgressImpl	stubbingStarted()	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/progress/MockingProgressImpl.java	stubbingInProgress
METHOD	org.mockito.internal.progress.MockingProgressImpl	setVerificationStrategy(org.mockito.verification.VerificationStrategy)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/progress/MockingProgressImpl.java	verificationStrategy
METHOD	org.mockito.internal.session.DefaultMockitoSessionBuilder	name(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/session/DefaultMockitoSessionBuilder.java	name
METHOD	org.mockito.internal.session.DefaultMockitoSessionBuilder	strictness(org.mockito.quality.Strictness)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/session/DefaultMockitoSessionBuilder.java	strictness
METHOD	org.mockito.internal.session.DefaultMockitoSessionBuilder	logger(org.mockito.session.MockitoSessionLogger)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/session/DefaultMockitoSessionBuilder.java	logger
